年度/季度,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1
2323 中環 (上市光電業),-1.64,-1.77,-2.05,-6.1,-1.75,-1.53,-1.42,-1.27,-1.63,-1.26,-2.09,-6.05,-1.61,-1.1,-1.85,-5.29,-2.49,-0.04,-1.39,-1.6,-2.31,-0.89,-0.4,5.81,0.91,1.03,-1.35,0.27,-6.93,6.18,-1.88,3.34,-1.04,-1.58,2.58,0.82,-0.77,-3.07,-1.62,-0.62,3.94,7.7,-5.74,4.01,
2374 佳能 (上市光電業),0.73,0.89,1.63,0.98,-2.12,0.15,2.15,1.64,1.52,3.19,3.13,1.11,-0.2,0.76,2.86,1.74,0.16,0.83,1.54,-0.08,-1.42,-0.82,-1.74,-1.31,-1.28,-0.15,-0.93,-2.94,-3.03,-1.85,-1.36,-0.89,-1.94,12.85,0.6,-0.07,-0.19,0.66,2.87,-0.71,-1.12,0.77,3.38,0.64,
2409 友達 (上市光電業),-2.08,2.38,1.43,0.61,0.09,2.24,3.95,3.38,2.6,2.17,1.62,-3.94,-2.78,-0.41,2.41,4.27,4.66,4.29,3.81,1.64,1.77,0.02,2,-0.2,-2.27,-1.35,-2.35,-4.73,-3.14,-1.8,1.69,4.75,5.97,9.35,8.6,4.91,2.18,-2.45,-4.86,-5.06,-6.05,-2.75,-0.55,-0.84,
3059 華晶科 (上市光電業),-0.44,0.16,0.61,-3.62,0.82,1.3,0.31,0.32,0.03,0.43,2.07,0.35,-0.57,0.15,0.32,1.24,0.28,-0.17,-0.06,0.47,0.04,0.87,0.86,0.03,0.01,0.06,0.13,-0.25,-0.02,0.86,0.52,0.45,0.45,0.79,1.52,0.31,1.17,1.09,1.4,1.61,0.81,1.08,1.39,1.23,1.1
3149 正達 (上市光電業),0.78,-4.21,-3.96,-6.01,-4.84,-5.33,-3.57,-13.3,-5.7,-58.7,-17.75,-51.94,0.6,-0.32,-11.7,-20.11,0.91,3.73,-1.88,-0.8,-3.16,3.28,-1.92,-5.61,0.36,-0.22,-1.7,-2.33,-4.27,-13.69,0.95,-3.98,-0.36,0.21,-1.21,-6.75,-3.27,-6.37,-3.56,-7.53,-1.5,-0.98,-1.75,-4.05,
3481 群創 (上市光電業),0.88,2.11,0.35,-0.69,0.08,1.53,3.57,5.02,3.72,2.28,1.45,-2.84,-3.77,-1.59,1.42,4.93,5.14,5,3.44,1.64,1.1,-0.73,0.74,-0.27,-1.47,-1.18,-1.58,-2.89,-2.3,-2.15,0.7,4.4,4.66,7.95,6.43,1.98,0.62,-1.58,-4.59,-4.77,-3.1,-2.36,-0.8,-1.4,
3504 揚明光 (上市光電業),1.74,1.76,2.17,0.41,0.56,0.82,1.59,1.93,0.43,0.89,1.44,0.45,-1.7,-2.04,-0.81,-0.76,-1.92,-1.34,-1.12,0.06,0.12,1.56,3.31,0.2,0.13,0.93,0.43,-1.38,-2.53,-1.1,-1.49,-2.08,-1.04,0.41,1.09,0.4,0.72,1.48,1.95,-2.11,-2.62,-2.11,-2.17,-2.19,-7.92
4934 太極 (上市光電業),-2.72,5.6,2.18,2.56,3.36,1.7,-0.26,0.09,0.6,-0.69,2.55,4,3.46,1.76,-6.68,-3.59,-5.4,-8.52,-0.37,-5.86,-5.53,-11.23,-15.81,-24.37,-2.37,-1.37,-0.1,-19.72,-0.4,3.31,-1.24,-1.97,-6.58,-11.18,-8.31,-25.21,-4.88,-2.59,-0.24,3.99,0.65,1.27,2.36,-12.2,
6164 華興 (上市光電業),1.91,3.22,2.82,2.55,0.83,2.89,2.74,1.95,0.72,1.53,0.58,0.49,0.85,6.41,0.52,0.5,1.09,1.7,0.48,-0.39,0.09,0.1,0.18,1.39,-0.27,-0.3,-1.68,-2.85,-1.4,-0.59,-1,1.46,-0.33,0.74,1.12,-0.79,-0.52,2.69,0.91,2.21,-0.78,-0.59,0.49,-1.36,
6176 瑞儀 (上市光電業),5.92,3.61,5.28,7.59,3.42,2.91,4.3,5.99,1.62,0.06,5.72,5.72,1.79,2.42,4.86,4.83,3.19,3.47,3.54,3.46,0.62,6.19,7.13,7.18,5.34,5.61,8.28,2.8,2.58,6.48,5.67,4.41,5.53,3.53,5.28,3.19,6.45,5.13,5.71,3.41,2.14,6.69,5.73,1.18,5.46
