年度/季度,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1
2323 中環 (上市光電業),-12.97,-13.02,-16.9,-22.68,-11.92,-9.38,-10.02,-7.26,-11.63,-9.35,-14,-19.43,-11.36,-7.35,-12.69,-35.4,-19.94,-13.16,-12.25,-12.93,-18.32,-10.45,-3.48,2.35,1.37,9.11,-4.98,-13.54,-2.93,-10.98,-2.37,4.69,-0.58,-4.44,-1.95,0.58,-4.55,-7.79,-2.49,-13.01,-7.33,-7.09,-0.93,-3.91,
2374 佳能 (上市光電業),1.53,1.25,1.84,1,-0.58,0.23,2.19,-0.17,1.4,4.27,4.29,2.56,-0.87,1.67,-0.53,2.36,0.3,2.28,2.02,-2.67,-6.63,-9.76,-10.83,-11.61,-5.1,-0.83,-12.57,-11.43,-28.78,-18.96,-15.72,-10.95,-19.23,-33.03,1.21,0.46,-3.17,0.18,0.86,-0.45,-6.36,-2.66,7.78,6.62,
2409 友達 (上市光電業),-1.44,4.63,3.15,1.05,0.7,3.83,8.21,8.37,9.39,6.88,3.8,-1.4,-7.17,0.14,6.7,12.59,13.57,13.83,11.15,7.07,3.97,2.8,3.79,-1.89,-7.65,-4.88,-7.76,-10.51,-10.14,-5.36,3.62,10.28,14.49,21.21,20.62,11.12,6.5,-7.39,-27.58,-20.72,-21.76,-6.99,-1.9,-8,
3059 華晶科 (上市光電業),-1.51,0.09,0.91,-1.66,0.53,3.19,1.68,2.06,-0.9,1.45,4.6,1,-3.19,-0.05,0.58,3.13,1.78,-0.03,0.93,3.17,0.69,1.49,1.7,-1.25,-1.45,-2.22,-1.6,-5.26,-2.69,4.87,2.61,-0.05,1.42,2.16,5.91,0.37,2.69,3.25,2.38,4.53,2.76,4.25,5.33,3.39,5.02
3149 正達 (上市光電業),4.61,-13.15,-18.63,-37.02,-22.1,-21.89,-11.4,-23.42,-56.39,-89.9,-27.37,-49.37,-101.32,-69.8,-48.7,-32.26,-50.99,-10.58,-8.89,-4.36,-5.15,-0.28,-2.46,-12.53,-8.32,-11.67,-5.22,-5.11,-19.38,-30.86,-1.99,-21.06,-4.65,-4.73,-7.6,-13.09,-15.06,-18.93,-17.48,-13.34,-15.23,-8.07,-10.79,-9.62,
3481 群創 (上市光電業),2.83,7.2,4.19,-0.07,1.32,5.73,8.04,10.03,11.2,10.03,5.3,-3.56,-14.89,-4.55,5.18,15.66,17.01,18.72,13.7,7.17,5.74,0.97,2.42,-1.98,-7.69,-5.29,-7.67,-10.88,-12.33,-5.03,1.79,12.88,17.75,25.5,20.42,6.31,3.21,-9.91,-32.04,-26.69,-18.88,-9.69,-2.75,-5.94,
3504 揚明光 (上市光電業),5.72,6.56,7.47,1.01,1.36,2.86,4.53,7,-0.45,1.74,4.55,2.79,-4.91,-7.87,-2.05,-3.41,-6.68,-5.3,-3.27,1.12,0.85,2.12,5.95,-0.02,0.38,0.83,0.91,-2.88,-14.96,-3.53,-4.74,-3.98,-3.31,1.54,3.65,0.23,1.36,3.41,2.21,-8.01,-10.22,-10.83,-11.11,-9.14,-20.24
4934 太極 (上市光電業),-6.15,10.53,5.38,5.67,8.05,4.92,-4.42,-2.21,-0.93,-0.36,3.69,8.71,9.74,4.31,-31.35,-15.86,-20.47,-8.27,-1.85,-4.05,-36.25,-33.11,-68.62,-40.01,-14.06,-4.74,-3.91,-37.82,-2.56,16.21,-6.95,-7.93,-23.51,-34.73,-53.22,-30.53,-25.4,-7.16,-0.42,-16.86,-0.63,0.7,3.3,-199.5,
6164 華興 (上市光電業),10.25,12.84,12.13,4.59,5.09,12.43,8.35,5.82,5.38,7.86,1.42,5.48,4.69,2.18,6.11,8.73,7.82,6.06,2.47,-1.59,-4.22,2.85,0.74,0.93,-7.9,-5.01,-8.55,-10.95,-9.65,-1.42,-11.16,-9.22,-5,1.77,4.67,3.71,-5.37,-4.18,-2.78,-7.33,-10.03,-5.17,-10.61,-9.5,
6176 瑞儀 (上市光電業),8.53,5.95,9.46,12.03,8.21,6.61,7.33,8.53,2.54,0.74,9.29,8.73,4.32,2.36,11.38,8.02,9.43,10.15,8.48,8.65,5.9,6.26,11.68,11.86,11.56,11.86,14.91,13.57,6.29,16.17,16.44,14.53,12.32,13.86,12.91,13.99,12.59,10.22,16.07,15.67,10.63,13.89,13.08,13.82,11.72
