年度/季度,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1
2323 中環 (上市光電業),-5.83,-0.38,14.11,4.77,-11.39,-12.92,-21.66,-36.01,-19.8,-12.99,-11.04,-12.56,-20.59,-25.41,-17.41,0.91,-11.58,-2.21,0.73,-6.66,-6.73,-12.16,-24.25,-31.44,45.65,-0.02,34.07,60.31,-17.62,1.66,-5.71,-4.68,-7.01,-4.17,-14.88,-19.48,-15.31,-5.39,3.42,2.2,
2374 佳能 (上市光電業),-27.44,1.33,-7.33,-3.11,-9.43,-26.26,-16.73,-26.41,-40.31,-39.56,-55.31,-35.57,0.39,3.46,23.28,-14.41,-31.62,-34.1,-34.05,-27.03,2.12,2.25,-25.29,-35.63,-62.17,-63.5,-26.43,-21.56,-16.31,-7.81,6.17,26.37,69.38,109.8,40.67,7.11,-10.94,-25.14,6.5,2.64,
2409 友達 (上市光電業),-0.47,-9.16,-0.18,2.67,1.6,-9.54,-16.45,-20.87,-25.36,-13.23,-3.67,10.07,24.49,5.4,1.6,-12.17,-15.94,-11.09,-7.27,-4.43,-10.4,-6.65,-13.56,-19.62,-19.51,-9.37,4.53,29.96,54.48,50.64,35.27,15.52,-1.7,-34.26,-49.79,-43.41,-37.21,0.69,40.97,20.32,
3059 華晶科 (上市光電業),-5.23,-0.04,-44.41,-17.9,-32.2,-37.66,7.82,-4.98,-5.98,-7.77,-22.97,11.2,9.74,-11.34,-9.89,-19.05,-12.21,39.72,17.13,-16.81,-26.21,-56.68,-48.95,-39.85,-35.4,1.8,2.52,32.8,77.86,51.1,52.92,26.09,80.36,36.92,62.47,41.05,-36.92,-29.93,-42.81,-28.82,-29.01
3149 正達 (上市光電業),-50.32,-29.88,12.71,10.43,-25.53,-47.36,-24.1,-19.21,-52.08,-48.39,-61.48,-52.69,-15.92,83.2,53.74,49.93,55.31,33.67,23.31,-25.6,-11.24,-45.4,-41.87,-14.02,-43.97,3.07,-2.65,-14.04,55.49,-5.74,-7.75,6.11,-20.7,1.75,-1.11,-8.71,-20.01,-26.61,-27.17,-18.98,
3481 群創 (上市光電業),-23.35,-0.45,16.47,18.23,11.83,-15.58,-21.52,-29.13,-43.67,-28.75,-16.08,9.72,52.48,26.5,6.74,-11.47,-22.39,-21.35,-7.04,-8.71,-10.24,-4.95,-14.36,-9.23,-15.91,5.87,17.81,19.05,66.37,39.4,24.83,2.37,-16.64,-37.9,-48.42,-40.05,-34.76,-4.86,20.07,11.46,
3504 揚明光 (上市光電業),-6.53,-11.9,-15.44,18.71,-12.4,-11.88,-3.44,-15.08,-8.91,-10.1,-12.94,0.71,-11.32,5.03,20.01,17,40.49,54.28,73.17,1.79,5.37,-26.95,-41.38,-15.66,-44.53,-9.93,-9.02,-10.95,48.44,3.35,3.91,23.01,16.19,14.65,17.2,-31.36,-39.3,-35.08,-44.24,-18.88,-23.23
4934 太極 (上市光電業),55.93,25.59,4.69,28.98,-0.39,-14.07,64.9,36.61,40.43,62.2,-42.07,-45.31,-43.36,-49.06,27.45,32.45,-35.2,-27.5,-71.57,-70.6,-34.52,-30.65,40.72,-3.76,-1.84,-13.6,-14.43,10.09,-17.61,-9.14,-49.12,-35.02,-21.45,10.7,123.23,87.57,93.75,25.02,6.35,-78.44,
6164 華興 (上市光電業),-4.21,-2.69,5.87,12.7,9.01,-4.54,-13.94,-16.77,-7.37,-8.43,-17.72,-15.33,-10.41,-17.73,-13.28,-20.16,-18.14,-1.93,-16.76,7.21,-16.38,-26.19,-10.72,-25.75,-16.35,-16.17,-24.59,-7.34,17.55,15.2,47.12,25.13,2.21,3.59,-15.27,-18.32,-24.37,-18.24,-25.59,-6.6,
6176 瑞儀 (上市光電業),-27.74,-16.02,-11.65,-19.22,-24.92,-13.11,18.18,17.5,25.86,2.05,-30.8,-19.71,4.11,34.19,35.93,4.16,-9.26,-16.02,-3.89,22.39,32.44,20.93,8.12,-26.82,-42.34,17.35,4.86,24.8,64.19,-7.88,-12.92,-8.66,2.21,-21.45,30.95,1.47,-35.66,7.19,-36.73,-23.96,17.05
