年度/季度,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1
2323 中環 (上市光電業),-12.99,-14.61,-18.67,-46.8,-13.21,-11.27,-10.07,-8.48,-12.95,-9.82,-17.37,-56.4,-13.69,-8.46,-14.86,-48.81,-23.39,-0.33,-12.19,-13.38,-22.73,-7.76,-3.23,50.29,9.71,10.53,-15.06,3.51,-48.92,59.83,-15,26.08,-9.05,-15.27,21.38,6.5,-6.92,-29.65,-14.81,-5.57,39.08,79.35,-54.06,38.67,
2374 佳能 (上市光電業),1.06,1.34,2.41,1.44,-4.04,0.21,3.38,2.54,3.26,6.56,5.94,2.06,-0.61,2.19,10.82,4.86,0.49,2.26,4.73,-0.26,-6.38,-3.33,-7.6,-5.24,-4.99,-0.55,-4.99,-16.74,-26.68,-14.97,-8.26,-5.54,-18.5,114.25,3.68,-0.35,-1.22,2.98,12.78,-3.68,-7.97,4.55,14.15,3.25,
2409 友達 (上市光電業),-3.52,3.54,2.34,1.05,0.18,3.94,6.83,6.24,5.53,4.8,3.78,-9.87,-7.84,-1,5.37,9.12,10.65,10.6,9.41,4.53,5.41,0.05,5.33,-0.55,-7.33,-4.04,-6.76,-14.75,-10.76,-5.04,4.11,11.02,14.28,20.76,20.15,12.67,6.35,-9.06,-21.09,-18.92,-21.66,-7.48,-1.32,-2.22,
3059 華晶科 (上市光電業),-1.14,0.33,0.97,-9.14,2.15,2.75,0.87,0.94,0.1,1.35,5.19,1.09,-2.24,0.51,0.98,3.24,0.94,-0.6,-0.21,1.62,0.15,2.42,2.68,0.14,0.06,0.39,0.81,-1.69,-0.13,5.01,2.87,2.17,2.06,3.11,5.63,1.23,3.11,3.2,3.17,4.52,3.27,4.36,5.51,4.85,6.3
3149 正達 (上市光電業),2.35,-16.46,-18.58,-30.82,-24.69,-24.41,-12.37,-50.3,-30.46,-309.5,-32.26,-75.35,1.68,-1.13,-28,-36.67,2.18,5.15,-2.52,-1.07,-5.95,4.09,-2.43,-11.13,0.81,-0.53,-3.57,-4.89,-15.78,-27.12,1.66,-8.88,-0.89,0.51,-2.75,-14.95,-9.32,-14.69,-8.61,-18.91,-5.56,-2.96,-5.16,-11.42,
3481 群創 (上市光電業),1.44,3.65,0.7,-1.38,0.17,2.71,6.51,9.7,8.64,5.77,3.92,-8.25,-15.21,-5.2,4.11,12.16,13.78,14.34,11.01,5.43,4.4,-2.91,2.59,-0.96,-6.22,-4.7,-6.14,-10.46,-10.45,-7.14,2.06,12.99,13.8,22.97,19.99,7.45,2.72,-8.14,-26.49,-25.85,-17.01,-10.38,-3.27,-6.06,
3504 揚明光 (上市光電業),5.4,4.85,6.05,1.39,1.88,2.54,5.19,5.63,1.68,3.19,5.03,1.56,-7.05,-7.81,-2.99,-2.33,-7.87,-4.33,-3.19,0.14,0.35,3.32,5.6,0.51,0.38,2.79,1.26,-4.05,-12.24,-3.39,-4.4,-6.35,-3.18,1.16,3.01,0.99,1.94,3.85,4.9,-8.05,-11.74,-8.23,-9.08,-9.35,-40.95
4934 太極 (上市光電業),-7.24,10.24,4.91,5.35,7.55,3.69,-0.9,0.22,1.76,-2.08,6.1,8.05,8.8,3.95,-31.45,-13.67,-22.85,-30.89,-1.07,-13.62,-29.36,-45.57,-118.41,-118.18,-10.72,-4.77,-0.37,-74.06,-1.44,10.53,-4.16,-6.01,-27.39,-36.55,-55.43,-123.96,-26.41,-7.74,-0.81,13.69,2.61,4.52,9.41,-194.17,
6164 華興 (上市光電業),7.34,9.79,9.07,9.78,3.63,9.53,8.55,6.93,2.99,5.45,2.18,2.06,3.67,24.28,2.21,2.22,4.35,6.34,1.99,-1.89,0.4,0.36,0.88,6.12,-1.48,-1.5,-8.76,-15.77,-8.13,-3.08,-6.26,8.36,-1.63,3.41,4.93,-3.7,-2.6,12.55,5.01,13.54,-5.38,-3.36,3.44,-8.34,
6176 瑞儀 (上市光電業),7.45,5.83,7.13,8.69,6.25,5.98,7,9.23,4.19,0.16,8.4,7.75,3.67,5.92,10.11,7.69,5.84,5.95,5.38,5.37,1.29,13.45,11.97,9.86,9.61,11.51,14.51,5.78,8.35,11.43,9.6,7.61,11.85,7.42,11.07,6.38,14.44,15.09,10.22,7.5,7.96,18.88,16.72,3.48,17.96
