年度/季度,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1
2323 中環 (上市光電業),0.09,0.08,0.08,0.09,0.1,0.1,0.1,0.11,0.09,0.09,0.09,0.08,0.08,0.09,0.09,0.08,0.08,0.08,0.09,0.09,0.08,0.09,0.09,0.09,0.08,0.08,0.08,0.06,0.11,0.08,0.09,0.1,0.09,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.08,
2374 佳能 (上市光電業),0.41,0.38,0.39,0.41,0.31,0.4,0.35,0.37,0.29,0.31,0.31,0.31,0.2,0.23,0.18,0.24,0.22,0.24,0.21,0.2,0.15,0.17,0.16,0.17,0.18,0.19,0.12,0.12,0.07,0.08,0.11,0.1,0.07,0.07,0.11,0.14,0.12,0.16,0.16,0.15,0.11,0.13,0.18,0.15,
2409 友達 (上市光電業),0.18,0.21,0.21,0.21,0.19,0.22,0.23,0.23,0.21,0.2,0.2,0.19,0.17,0.19,0.21,0.22,0.21,0.19,0.2,0.18,0.17,0.17,0.19,0.19,0.16,0.17,0.17,0.15,0.14,0.16,0.19,0.2,0.2,0.22,0.23,0.22,0.19,0.15,0.13,0.14,0.13,0.16,0.18,0.16,
3059 華晶科 (上市光電業),0.24,0.28,0.36,0.24,0.24,0.3,0.21,0.2,0.17,0.2,0.25,0.2,0.16,0.19,0.2,0.23,0.18,0.17,0.18,0.19,0.16,0.22,0.18,0.14,0.11,0.1,0.11,0.1,0.08,0.11,0.12,0.13,0.13,0.15,0.16,0.15,0.21,0.18,0.24,0.2,0.14,0.14,0.14,0.14,0.1
3149 正達 (上市光電業),0.18,0.14,0.11,0.1,0.1,0.11,0.13,0.11,0.07,0.06,0.12,0.12,0.05,0.05,0.08,0.12,0.09,0.17,0.2,0.22,0.16,0.25,0.25,0.16,0.15,0.15,0.18,0.19,0.11,0.19,0.2,0.16,0.15,0.14,0.15,0.15,0.11,0.15,0.15,0.14,0.09,0.12,0.12,0.12,
3481 群創 (上市光電業),0.21,0.21,0.19,0.19,0.18,0.23,0.24,0.24,0.22,0.23,0.22,0.21,0.15,0.19,0.21,0.25,0.24,0.23,0.21,0.2,0.16,0.17,0.19,0.18,0.15,0.16,0.16,0.17,0.14,0.19,0.21,0.21,0.21,0.22,0.21,0.17,0.15,0.13,0.11,0.12,0.12,0.14,0.14,0.14,
3504 揚明光 (上市光電業),0.23,0.25,0.23,0.19,0.2,0.21,0.19,0.23,0.18,0.2,0.21,0.21,0.17,0.18,0.18,0.21,0.16,0.2,0.23,0.25,0.22,0.28,0.33,0.23,0.21,0.19,0.19,0.18,0.12,0.17,0.18,0.18,0.19,0.2,0.2,0.22,0.2,0.2,0.22,0.15,0.14,0.16,0.15,0.15,0.13
4934 太極 (上市光電業),0.14,0.21,0.18,0.22,0.22,0.26,0.18,0.26,0.21,0.21,0.28,0.33,0.26,0.31,0.15,0.19,0.16,0.18,0.21,0.26,0.11,0.14,0.07,0.1,0.1,0.13,0.13,0.12,0.12,0.15,0.15,0.16,0.1,0.12,0.06,0.09,0.08,0.15,0.15,0.19,0.19,0.21,0.19,0.05,
6164 華興 (上市光電業),0.17,0.22,0.21,0.18,0.16,0.2,0.2,0.18,0.16,0.18,0.17,0.15,0.15,0.17,0.15,0.14,0.15,0.16,0.14,0.13,0.13,0.16,0.12,0.13,0.11,0.12,0.12,0.11,0.11,0.12,0.1,0.11,0.13,0.13,0.14,0.13,0.13,0.13,0.11,0.11,0.1,0.11,0.09,0.11,
6176 瑞儀 (上市光電業),0.32,0.24,0.3,0.38,0.24,0.2,0.25,0.28,0.18,0.18,0.25,0.29,0.23,0.2,0.23,0.3,0.26,0.28,0.29,0.28,0.23,0.21,0.25,0.31,0.25,0.23,0.28,0.26,0.17,0.29,0.28,0.29,0.25,0.24,0.23,0.23,0.21,0.16,0.26,0.22,0.14,0.18,0.17,0.19,0.18
