年度/季度,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1
2323 中環 (上市光電業),-1.13,-1.23,-1.44,-4.35,-1.26,-1.11,-1.02,-0.9,-1.17,-0.91,-1.5,-4.35,-1.15,-0.79,-1.33,-3.81,-1.82,-0.03,-1.04,-1.21,-1.75,-0.68,-0.3,4.45,0.74,0.87,-1.14,0.22,-5.18,4.55,-1.41,2.56,-0.8,-1.2,1.91,0.61,-0.59,-2.33,-1.18,-0.44,2.88,5.78,-4.37,3,
2374 佳能 (上市光電業),0.43,0.51,0.94,0.58,-1.27,0.08,1.19,0.95,0.93,2.06,1.83,0.63,-0.13,0.51,1.91,1.15,0.11,0.54,1,-0.05,-0.98,-0.57,-1.21,-0.9,-0.88,-0.1,-0.62,-1.96,-2,-1.2,-0.87,-0.57,-1.26,8.47,0.41,-0.05,-0.14,0.49,2.11,-0.53,-0.86,0.58,2.51,0.47,
2409 友達 (上市光電業),-0.63,0.76,0.49,0.22,0.03,0.85,1.57,1.41,1.14,0.97,0.75,-1.88,-1.34,-0.19,1.1,1.97,2.21,2.07,1.85,0.82,0.92,0.01,1.03,-0.1,-1.19,-0.68,-1.14,-2.27,-1.47,-0.83,0.77,2.22,2.83,4.55,4.54,2.74,1.21,-1.36,-2.64,-2.57,-2.88,-1.21,-0.23,-0.36,
3059 華晶科 (上市光電業),-0.28,0.09,0.35,-2.24,0.52,0.82,0.19,0.19,0.02,0.27,1.28,0.22,-0.36,0.1,0.19,0.74,0.17,-0.1,-0.04,0.3,0.02,0.52,0.48,0.02,0.01,0.04,0.09,-0.17,-0.01,0.55,0.33,0.28,0.28,0.48,0.9,0.18,0.66,0.58,0.75,0.89,0.45,0.59,0.77,0.7,0.65
3149 正達 (上市光電業),0.41,-2.24,-2.1,-3.11,-2.44,-2.6,-1.62,-5.4,-2.16,-18.92,-3.98,-8.95,0.09,-0.05,-2.28,-4.31,0.2,0.85,-0.49,-0.23,-0.93,1,-0.61,-1.83,0.12,-0.08,-0.64,-0.91,-1.68,-5.23,0.34,-1.44,-0.13,0.07,-0.42,-2.23,-1.04,-2.18,-1.27,-2.6,-0.51,-0.34,-0.61,-1.38,
3481 群創 (上市光電業),0.3,0.75,0.13,-0.26,0.03,0.63,1.59,2.37,1.91,1.31,0.87,-1.72,-2.32,-0.99,0.87,2.99,3.24,3.26,2.29,1.08,0.72,-0.48,0.48,-0.17,-0.91,-0.74,-1,-1.82,-1.45,-1.34,0.43,2.72,2.95,5.07,4.12,1.28,0.41,-1.02,-2.9,-3.07,-1.96,-1.41,-0.47,-0.86,
3504 揚明光 (上市光電業),1.23,1.19,1.41,0.27,0.38,0.52,1.01,1.29,0.3,0.63,1.04,0.33,-1.23,-1.41,-0.54,-0.5,-1.25,-0.88,-0.72,0.03,0.08,0.93,1.87,0.12,0.08,0.53,0.24,-0.75,-1.41,-0.59,-0.8,-1.17,-0.6,0.23,0.61,0.22,0.39,0.78,1.06,-1.21,-1.59,-1.32,-1.36,-1.39,-5.13
4934 太極 (上市光電業),-1.01,2.11,0.87,1.16,1.65,0.94,-0.16,0.06,0.37,-0.44,1.69,2.68,2.33,1.21,-4.85,-2.59,-3.71,-5.5,-0.23,-3.52,-3.18,-6.35,-8.51,-11.9,-1.08,-0.64,-0.05,-9,-0.17,1.57,-0.63,-0.94,-2.77,-4.46,-3.5,-11.14,-2.15,-1.14,-0.12,2.56,0.49,0.96,1.82,-9.44,
6164 華興 (上市光電業),1.27,2.13,1.9,1.76,0.57,1.91,1.72,1.24,0.47,0.97,0.36,0.31,0.54,4.02,0.33,0.32,0.65,0.99,0.28,-0.24,0.05,0.06,0.11,0.81,-0.16,-0.19,-1.03,-1.74,-0.86,-0.36,-0.63,0.94,-0.21,0.46,0.7,-0.49,-0.33,1.66,0.56,1.44,-0.52,-0.37,0.31,-0.92,
6176 瑞儀 (上市光電業),2.42,1.4,2.14,3.3,1.52,1.22,1.73,2.59,0.74,0.03,2.13,2.24,0.84,1.18,2.35,2.3,1.52,1.65,1.57,1.53,0.3,2.85,3.03,3.08,2.39,2.6,4.09,1.5,1.43,3.31,2.7,2.24,2.91,1.78,2.51,1.48,2.99,2.38,2.62,1.66,1.15,3.49,2.92,0.65,3.21
